objid,ra,dec,u,g,r,i,z,distance
5.82094E+17,229.035845,-0.108264,21.374,19.941,19.373,19.113,19.041,1.382709
5.82094E+17,229.008355,-0.134107,18.886,16.938,16.138,15.779,15.586,1.577123
5.82094E+17,229.005929,-0.133279,21.967,20.645,20.269,20.107,20.221,1.560182
5.82094E+17,229.005071,-0.133031,22.927,22.277,21.831,21.585,21.626,1.560361
5.82094E+17,229.023152,-0.083894,19.958,18.551,17.962,17.707,17.602,1.585156
5.82094E+17,229.025115,-0.082774,23.56,21.7,20.847,20.439,20.697,1.695089
5.82094E+17,229.024315,-0.08255,23.797,22.411,22.021,22.192,21.905,1.686974
5.82094E+17,229.021091,-0.082483,24.785,25.05,23.69,21.636,20.869,1.621235
5.82094E+17,229.022159,-0.082911,23.299,22.226,21.896,21.708,21.701,1.617917
5.82094E+17,229.024421,-0.085385,24.506,23.391,23.754,22.707,22.541,1.53624
5.82094E+17,229.031349,-0.126175,21.808,20.696,20.333,20.162,20.011,1.549769
5.82094E+17,229.031238,-0.123524,22.571,21.472,21.172,20.895,20.964,1.438479
5.82094E+17,229.030346,-0.12325,22.402,21.735,21.279,21.098,21.883,1.386975
5.82094E+17,229.030684,-0.124847,22.883,21.633,21.27,21.034,20.98,1.465975
5.82094E+17,229.032547,-0.12453,22.398,21.774,21.439,21.285,21.159,1.537497
5.82094E+17,229.034689,-0.127237,19.424,17.768,17.065,16.757,16.576,1.740541
5.82094E+17,229.033266,-0.127989,18.92,17.674,17.295,17.121,17.072,1.708112
5.82094E+17,229.033623,-0.126904,25.24,21.304,19.745,17.921,16.99,1.679384
5.82094E+17,229.036495,-0.12791,24.368,22.747,22.46,22.083,21.555,1.849294
5.82094E+17,229.034799,-0.129395,23.639,22.898,22.768,22.194,21.896,1.832874
5.82094E+17,229.032891,-0.086017,21.967,20.83,20.476,20.373,20.26,1.795726
5.82094E+17,229.032155,-0.084228,21.885,21.152,20.836,20.818,20.815,1.848622
5.82094E+17,229.038794,-0.097898,19.879,17.464,16.351,15.906,15.674,1.677669
5.82094E+17,229.040241,-0.097785,22.13,21.156,20.887,20.759,20.723,1.761046
5.82094E+17,229.041995,-0.099456,22.459,21.541,21.152,20.882,20.971,1.828598
5.82094E+17,229.040842,-0.098556,23.454,22.368,21.934,21.712,21.091,1.779241
